ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total
7332,173449000015,MELGAR,TOLIMA,INSTITUCION EDUCATIVA TECNICA SUMAPAZ,Oficial,A,180,161,4760,251,39,4.840.064.049,4.435.787.678,463.186.121,294,284,291.5,56.03,46.36,85.13,62.51
7333,127001003534,QUIBDÓ,CHOCO,IE JOSE DEL CARMEN CUESTA RENTERIA,Oficial,A,92,85,8773,207,27,3.852.910.042,3.724.004.745,6.449.176.788,261.5,309.5,285.5,53.18,46.75,87.58,62.50
7334,219698000432,SANTANDER DE QUILICHAO,CAUCA,INSTITUCION EDUCATIVA EL PALMAR (ANTES CENTRO EDUCATIVO EL PALMAR),Oficial,A,15,14,6506,236,35,4.008.378.029,5.446.197.987,435.556.221,299.5,283,286.5,55.25,46.03,86.22,62.50
7335,305001012181,MEDELLÍN,ANTIOQUIA,COL SAN JUAN EUDES,Oficial,A,64,62,5318,247,45,4.259.279.251,468.268.919,4.735.482.216,309,299.5,300.5,57.80,45.59,84.11,62.50
7336,163001000981,ARMENIA,QUINDIO,CAMILO TORRES,Oficial,A,37,36,4555,253,44,4.141.066.551,500.397.253,4.865.242.481,279,278,310,56.00,46.70,84.78,62.50
7337,105664000187,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,I. E. PIO XII,Oficial,A,79,72,4913,250,42,438.421.154,4.687.073.231,4.854.202.747,295.5,285.5,303.5,56.73,46.42,84.34,62.50
7338,247001001464,SANTA MARTA,MAGDALENA,INSTITUCION EDUCATIVO DISTRITAL TECNICA GUACHACA,Oficial,A,41,41,6381,237,33,4.337.920.666,5.504.761.219,3.866.914.034,277.5,283.5,282,54.00,45.70,87.78,62.49
7339,105001021636,MEDELLÍN,ANTIOQUIA,INST EDUC KENNEDY,Oficial,A,73,73,6265,238,34,5.343.824.387,3.751.615.524,4.374.816.418,297.5,276,290,55.08,44.90,87.50,62.49
7340,205847001098,URRAO,ANTIOQUIA,I. E. R.  VALENTINA FIGUEROA,Oficial,A,29,28,7063,231,40,4.184.354.305,4.178.888.321,611.526.823,280,276,302.5,54.48,48.26,84.73,62.49
7341,270742000076,SAN LUIS DE SINCÉ,SUCRE,I.E. DE GRANADA,Oficial,A,20,20,2153,277,42,3.616.588.354,3.543.511.868,5.853.428.364,286,291.5,290.5,57.25,43.38,86.83,62.49
7342,186865003745,VALLE DEL GUAMUEZ,PUTUMAYO,IE CIUDAD LA HORMIGA,Oficial,A,102,99,5962,241,41,4.410.252.571,4.374.192.238,5.014.479.637,302.5,292.5,292.5,56.43,46.00,85.03,62.48
7343,125281000303,FOSCA,CUNDINAMARCA,INSTITUCION EDUCATIVA DEPARTAMENTAL DE DESARROLLO RURAL,Oficial,A,19,19,6385,237,34,4.694.926.739,4.271.955.967,4.478.058.338,295.5,295.5,275.5,55.18,44.82,87.45,62.48
7344,347001004522,SANTA MARTA,MAGDALENA,INSTITUTO TAYRONA,Privado,A,32,32,5966,241,42,4.655.297.756,4.147.521.496,505.132.103,282,281,318,56.10,46.18,85.16,62.48
