Código DANE,País/ET/Municipios,Departamento,Establecimientos educativos,Sector,Calendario,Matriculados,Publicados,PUESTO SABER11,Promedio Puntaje Global SABER 11,Desviación General,FORMULA 1,FORMULA 2,FORMULA 3,TOTAL
315001003241,TUNJA,BOYACA,CENTRO DE INVESTIGACIONES PEDAGÓGICAS  RAYUELA,Privado,A,17,17,539,311,25,0.6535,0.716215372,0.925595238,0.765103537
350001005317,VILLAVICENCIO,META,COL NUEVO GIMNASIO,Privado,A,55,55,62,348,28,0.8085,0.871164354,0.925531915,0.868398756
376318800006,GUACARÍ,VALLE,INSTITUTO COMERCIAL JUAN PABLO II,#N/A,A,13,18,8863,196,27,#N/A,#N/A,0.925491549,#N/A
250287000401,FUENTEDEORO,META,IE ANTONIO NARIÑO,Oficial,A,12,12,6147,236,19,0.59725,0.494097392,0.925490196,0.672279196
311001052018,BOGOTÁ D.C.,BOGOTÁ D.C.,COL EL MINUTO DE DIOS SIGLO XXI,Privado,A,47,50,162,335,29,0.71625,0.775447273,0.925415011,0.805704095
315001001923,TUNJA,BOYACA,GIMNASIO CAMPESTRE DEL NORTE,Privado,A,45,45,157,335,27,0.75525,0.800827265,0.925414365,0.827163876
313001028868,CARTAGENA DE INDIAS,BOLIVAR,COL. BILINGUE DE CARTAGENA,Privado,A,20,20,158,335,27,#N/A,#N/A,0.925414365,#N/A
325769000379,SUBACHOQUE,CUNDINAMARCA,COLEGIO EUCARISTICO CAMPESTRE,Privado,A,43,43,565,310,25,0.71725,0.783633645,0.925373134,0.80875226
368081002794,BARRANCABERMEJA,SANTANDER,COL BILINGÜE CHESTER PALMER,Privado,A,19,19,169,334,27,0.734,0.79104983,0.925207756,0.816752529
376109006637,BUENAVENTURA,VALLE,INSTITUCION EDUCATIVA SAN BUENAVENTURA,Privado,A,9,13,8948,192,30,0.598,#N/A,0.924924925,#N/A
325799000284,TENJO,CUNDINAMARCA,GIMN CAMP  NUEVA GRANADA,Privado,A,14,13,403,317,24,0.7325,#N/A,0.924591537,#N/A
311769002214,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO SAN BENITO DE TIBATI,Privado,A,50,49,129,338,27,#N/A,#N/A,0.924547945,#N/A
120001004161,VALLEDUPAR,CESAR,COL. SAN FERNANDO,Privado,A,15,15,380,318,26,0.6745,0.769640843,0.924418605,0.789519816
368547001947,PIEDECUESTA,SANTANDER,COLEGIO CENTRO PEDAGOGICO LA CANDELARIA,Privado,A,4,4,6573,232,19,0.59125,#N/A,0.924302789,#N/A
308433001171,MALAMBO,ATLANTICO,COLEGIO JESUS DE LA BUENA ESPERANZA,Privado,A,18,18,698,305,25,0.6605,0.758442752,0.924242424,0.781061725
252250000421,LA TOLA,NARIÑO,I.E. AGROP Y AMBIENTAL ARCA DE NOE,Oficial,A,13,12,9055,185,14,0.496,#N/A,0.924236567,#N/A
205890000062,YOLOMBÓ,ANTIOQUIA,I. E. R. LA FLORESTA,Oficial,A,19,30,8584,205,45,0.53725,0.46325086,0.924210526,0.641570462
227077000334,BAJO BAUDÓ,CHOCO,CE SIVIRU,Oficial,A,7,6,9077,183,13,#N/A,#N/A,0.924198251,#N/A
405266800053,ENVIGADO,ANTIOQUIA,COLEGIO THEODORO HERTZL,#N/A,A,17,16,56,350,27,#N/A,#N/A,0.924169137,#N/A
311001006784,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN LOS CIPRESES,#N/A,A,9,9,2512,268,22,0.634,#N/A,0.924137931,#N/A
311769000483,BOGOTÁ D.C.,BOGOTÁ D.C.,COL EMMANUEL D ALZON,Privado,A,72,72,111,341,28,0.78925,0.796044413,0.924119241,0.836471218
354001000698,CÚCUTA,NORTE DE SANTANDER,COL GIMN DOMINGO SAVIO,Privado,A,30,30,112,341,28,0.7425,0.782255061,0.924119241,0.816291434
105001009709,MEDELLÍN,ANTIOQUIA,INST EDUC FELIX HENAO BOTERO,Oficial,A,47,69,5082,246,41,0.547,0.515634982,0.924012158,0.662215713
325899090060,ZIPAQUIRÁ,CUNDINAMARCA,COLEGIO DOUGLAS BROWN DE ZIPAQUIRÁ,Privado,A,20,20,417,316,26,0.7285,0.79327755,0.923976608,0.815251386
252381000442,LA FLORIDA,NARIÑO,INSTITUCION EDUCATIVA SAN JOSE DE MATITUY,Oficial,A,17,14,5017,246,17,0.62025,#N/A,0.923954373,#N/A
311001009023,BOGOTÁ D.C.,BOGOTÁ D.C.,COL CHAMPAGNAT,Privado,A,88,88,118,340,28,0.75325,0.792118295,0.923913043,0.82309378
311001051275,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN CAMPESTRE  ESCALEMOS,Privado,A,8,5,646,307,18,0.743,#N/A,0.923846154,#N/A
252720000074,SAPUYES,NARIÑO,INSTITUCION EDUCATIVA AGROPECUARIA LA FLORESTA,Oficial,A,9,9,5460,242,20,0.58675,#N/A,0.923664122,#N/A
425799000670,TENJO,CUNDINAMARCA,COLEGIO BILINGUE REAL AMERICANO,Privado,A,29,29,258,326,27,0.7235,0.777175633,0.923512748,0.808062794
244847001344,URIBIA,GUAJIRA,INSTITUCI¿N ETNOEDUCATIVA RURAL INTERNADO DE NAZARETH,Oficial,A,62,89,8615,204,32,0.49075,#N/A,0.92345544,#N/A
