school,formula_1,total
LIC CAMPO DAVID,95.07,91.43
COL LA COLINA ,93.00,90.98
COLEGIO LOS ÁNGELES,93.95,90.36
COLEGIO BILINGUE DIANA OESE,93.29,90.18
CENTRO EDUCATIVO OASIS DE FE,96.30,90.17
